Pickup_date,locationID
2015-01-07 20:00:00,247.0
2015-01-07 20:00:00,69.0
2015-01-07 20:08:00,69.0
2015-01-07 20:19:00,229.0
2015-01-07 20:20:00,163.0
2015-01-07 20:42:00,87.0
2015-01-07 20:44:00,""
2015-01-07 20:52:00,163.0
2015-01-07 20:52:00,163.0
2015-01-07 20:53:00,163.0
2015-01-07 20:58:00,249.0
2015-01-07 21:00:00,100.0
2015-01-07 21:00:00,113.0
2015-01-07 21:00:00,88.0
2015-01-07 21:00:00,""
2015-01-07 21:00:00,163.0
2015-01-07 21:00:00,""
2015-01-07 21:00:00,191.0
2015-01-07 21:01:00,192.0
2015-01-07 21:13:00,161.0
2015-01-07 21:17:00,265.0
2015-01-07 21:18:00,247.0
2015-01-07 21:18:00,162.0
2015-01-07 21:19:00,65.0
2015-01-07 21:25:00,161.0
2015-01-07 21:30:00,65.0
2015-01-07 21:34:00,87.0
2015-01-07 21:38:00,88.0
2015-01-07 21:40:00,262.0
2015-01-07 21:45:00,230.0
2015-01-07 22:00:00,234.0
2015-01-07 22:03:00,""
2015-01-07 22:06:00,87.0
2015-01-07 22:07:00,69.0
2015-01-07 22:09:00,""
2015-01-07 22:12:00,88.0
2015-01-07 22:16:00,87.0
2015-01-07 22:20:00,""
2015-01-07 22:20:00,""
2015-01-07 22:22:00,88.0
2015-01-07 22:38:00,""
2015-01-07 22:42:59,69.0
2015-01-07 23:06:00,69.0
2015-01-07 23:10:00,260.0
2015-01-07 23:11:00,""
2015-01-07 23:20:00,132.0
2015-01-07 23:24:00,""
2015-01-07 23:26:00,161.0
2015-01-07 23:27:00,""
2015-01-07 23:28:00,161.0
2015-01-07 23:30:00,265.0
2015-01-07 23:45:00,148.0
2015-01-07 23:54:00,161.0
2015-01-07 23:57:00,162.0
2015-01-08 00:00:00,161.0
2015-01-08 00:28:00,230.0
2015-01-08 01:12:00,""
2015-01-08 01:27:00,231.0
2015-01-08 05:30:00,246.0
2015-01-08 05:40:00,87.0
2015-01-08 07:15:00,140.0
2015-01-08 07:30:00,239.0
2015-01-08 08:00:00,263.0
2015-01-08 08:10:00,236.0
2015-01-08 08:45:00,239.0
2015-01-08 09:00:00,13.0
2015-01-08 09:00:00,""
2015-01-08 09:01:00,""
2015-01-08 09:30:00,132.0
2015-01-08 10:00:00,236.0
2015-01-08 10:00:00,238.0
2015-01-08 10:50:00,132.0
2015-01-08 11:20:00,""
2015-01-08 12:00:00,265.0
2015-01-08 12:00:00,189.0
2015-01-08 12:30:00,""
2015-01-08 12:45:00,237.0
2015-01-08 13:00:00,114.0
2015-01-08 13:00:00,223.0
2015-01-08 13:10:00,237.0
2015-01-08 13:15:00,170.0
2015-01-08 13:30:00,97.0
2015-01-08 13:42:00,161.0
2015-01-08 13:45:00,237.0
2015-01-08 14:30:00,229.0
2015-01-08 14:44:00,140.0
2015-01-08 15:15:00,231.0
2015-01-08 15:50:00,161.0
2015-01-08 16:00:00,163.0
2015-01-08 16:00:00,230.0
2015-01-08 16:09:00,""
2015-01-08 16:45:00,68.0
2015-01-08 16:45:00,237.0
2015-01-08 16:45:00,161.0
2015-01-08 16:50:00,""
2015-01-08 17:00:00,262.0
2015-01-08 17:02:00,246.0
2015-01-08 17:10:00,138.0
2015-01-08 17:15:00,226.0
2015-01-08 17:30:00,""
2015-01-08 17:57:00,145.0
2015-01-08 18:00:00,237.0
2015-01-08 18:00:00,262.0
2015-01-08 19:15:00,185.0
2015-01-08 19:15:00,""
2015-01-08 19:15:00,185.0
2015-01-08 19:19:00,68.0
2015-01-08 19:20:00,261.0
2015-01-08 19:30:00,162.0
2015-01-08 19:30:00,""
2015-01-08 19:31:00,69.0
2015-01-08 19:44:00,231.0
2015-01-08 19:45:00,138.0
2015-01-08 19:54:00,234.0
2015-01-08 20:00:00,130.0
2015-01-08 20:00:00,130.0
2015-01-08 20:05:00,265.0
2015-01-08 20:06:00,90.0
2015-01-08 20:13:00,137.0
2015-01-08 20:15:00,137.0
2015-01-08 20:15:00,162.0
2015-01-08 20:17:00,265.0
2015-01-08 20:18:00,""
2015-01-08 21:00:00,152.0
2015-01-08 21:00:00,163.0
2015-01-08 21:00:00,162.0
2015-01-08 21:00:00,161.0
2015-01-08 21:05:00,1.0
2015-01-08 21:08:00,87.0
2015-01-08 21:08:00,87.0
2015-01-08 21:11:00,161.0
2015-01-08 21:12:00,87.0
2015-01-08 21:13:00,65.0
